Kanal,Analiz Türü,Başlık Tipi Dağılımı,En Sık Başlık Başlangıçları (ilk 2 kelime),En Sık Başlık Başlangıçları (ilk 3 kelime),En Sık Başlık Başlangıçları (ilk 4 kelime),En Sık Başlık Formülleri
AlexHormozi,latest,"other: 7 (70%), comparison: 1 (10%), warning/negative: 1 (10%), question: 1 (10%)","""Build Your"" (1), ""Bulking Hack"" (1), ""One Win"" (1)","""Build Your Business"" (1), ""Bulking Hack For"" (1), ""One Win Is"" (1)","""Build Your Business Like"" (1), ""Bulking Hack For 20-Year-Olds"" (1), ""One Win Is All"" (1)","""X X X X X"" (3), ""X X X X X X"" (2), ""X X X X-T-X"" (1), ""X X VS X X"" (1), ""watch this if you don't want to become a failure"" (1)"
AlexHormozi,top,"other: 15 (75%), question: 2 (10%), howto: 1 (5%), story/personal: 1 (5%), guest/interview: 1 (5%)","""4 Paths"" (1), ""How To"" (1), ""MrBeast On"" (1)","""4 Paths To"" (1), ""How To Avoid"" (1), ""MrBeast On His"" (1)","""4 Paths To Ultra"" (1), ""How To Avoid Giving"" (1), ""MrBeast On His Mental"" (1)","""X X X X"" (3), ""X X X X X"" (2), ""X X X X X X X"" (2), ""X X X"" (2), ""X X X X A X"" (1)"
AliAbdaal,latest,"question: 4 (40%), other: 2 (20%), story/personal: 2 (20%), warning/negative: 1 (10%), howto: 1 (10%)","""17 Cheap"" (1), ""Watch this"" (1), ""What to"" (1)","""17 Cheap Purchases"" (1), ""Watch this if"" (1), ""What to do"" (1)","""17 Cheap Purchases That"" (1), ""Watch this if you"" (1), ""What to do if"" (1)","""X X X X X X X X"" (1), ""X this if you never have enough time"" (1), ""X to do if you hate your job"" (1), ""X X X X (Z)"" (1), ""X I use AI to save X+ hours per T"" (1)"
AliAbdaal,top,"other: 10 (50%), howto: 6 (30%), story/personal: 2 (10%), contrast: 1 (5%), listicle: 1 (5%)","""How To"" (3), ""How to"" (3), ""My honest"" (2)","""My honest advice"" (2), ""How To Slow"" (2), ""5 Life Changing"" (2)","""My honest advice to"" (2), ""How To Slow Down"" (2), ""5 Life Changing Lessons"" (2)","""X X X X X - X X X"" (2), ""X X X X"" (2), ""X X X X from X X X"" (2), ""X I X to X X as a X, I'd X X"" (1), ""I X X and X to X X! (Z)"" (1)"
Baykalem,latest,"other: 4 (40%), question: 3 (30%), contrast: 2 (20%), secret/truth: 1 (10%)","""2 Dakikada"" (1), ""Küçük Bir"" (1), ""Korkularınız Cebinizi"" (1)","""2 Dakikada Hayatını"" (1), ""Küçük Bir Kızın"" (1), ""Korkularınız Cebinizi Boşaltıyor"" (1)","""2 Dakikada Hayatını Şekillendirecek"" (1), ""Küçük Bir Kızın Gözünden"" (1), ""zenginlik, şans işi değil"" (1)","""X X Hayatını Şekillendirecek X X Alışkanlık"" (1), ""Küçük X Kızın Gözünden PARA | Yetişkinlere Anlatılmış X Tatlı Hikâye"" (1), ""Korkularınız X Boşaltıyor"" (1), ""zenginlik, şans işi değil"" (1), ""neden odaklanamıyoruz"" (1)"
Baykalem,top,"other: 14 (70%), question: 2 (10%), secret/truth: 1 (5%), howto: 1 (5%), warning/negative: 1 (5%), contrast: 1 (5%)","""7 Manipülasyon"" (2), ""Hayatını Değiştir:"" (1), ""Piyasaların Şifresini"" (1)","""7 Manipülasyon Tekniği"" (2), ""Hayatını Değiştir: Etkili"" (1), ""Piyasaların Şifresini Çözen"" (1)","""7 Manipülasyon Tekniği |"" (2), ""Hayatını Değiştir: Etkili Konuşmanın"" (1), ""Piyasaların Şifresini Çözen Adam:"" (1)","""Hayatını Değiştir: X Konuşmanın Sırları!"" (1), ""Piyasaların Şifresini Çözen X: X X"" (1), ""X X'den Hayatınızı Değiştirecek X X | İlham X Konuşmalar"" (1), ""X X Öğretilerinden Alınması X X X"" (1), ""Nasıl X X?"" (1)"
DanLok,latest,"howto: 5 (50%), other: 2 (20%), warning/negative: 1 (10%), guest/interview: 1 (10%), question: 1 (10%)","""How To"" (4), ""How to"" (1), ""Do This"" (1)","""How to Ask"" (1), ""How To Get"" (1), ""Do This To"" (1)","""How to Ask for"" (1), ""How To Get Customers"" (1), ""Do This To Get"" (1)","""X X X X X X X"" (2), ""X to X for X and X X X"" (1), ""X X X X X X X X ILLEGAL"" (1), ""X't X X X X, X X X"" (1), ""X X..."" (1)"
DanLok,top,"other: 8 (40%), question: 6 (30%), howto: 3 (15%), guest/interview: 2 (10%), contrast: 1 (5%)","""How To"" (3), ""Do You"" (1), ""Watch This"" (1)","""Do You Work"" (1), ""Watch This Video"" (1), ""“What Kind Of"" (1)","""Do You Work Well"" (1), ""Watch This Video Before"" (1), ""“What Kind Of Work"" (1)","""X X X X X X X #shorts"" (2), ""X X X X X X? X X X X X X X"" (1), ""X X X X X X X - X X"" (1), ""“X X X X X X X X?” X X X X X X"" (1), ""X X X X X X X X X? X X X X X X X"" (1)"
ImanGadzhi,latest,"other: 7 (70%), howto: 2 (20%), guest/interview: 1 (10%)","""Give me"" (2), ""Laziest Way"" (1), ""Road to"" (1)","""Laziest Way to"" (1), ""Road to $1"" (1), ""How to succeed"" (1)","""Laziest Way to Make"" (1), ""Road to $1 Billion"" (1), ""How to succeed if"" (1)","""X X to X X X X X (Z)"" (1), ""X to X X | X X X…"" (1), ""X to succeed if you’re ambitious but lazy"" (1), ""X me X minutes & I’ll X X X X X X/pm with X X"" (1), ""X X X XBillion X X (Z)"" (1)"
ImanGadzhi,top,"other: 12 (60%), listicle: 3 (15%), guest/interview: 2 (10%), comparison: 1 (5%), howto: 1 (5%), question: 1 (5%)","""Do THIS"" (1), ""I made"" (1), ""Dopamine Detox"" (1)","""Do THIS to"" (1), ""I made $1,000,000"" (1), ""Dopamine Detox is"" (1)","""Do THIS to Make"" (1), ""I made $1,000,000 at"" (1), ""Dopamine Detox is a"" (1)","""X THIS to X X as a X"" (1), ""I made X at X – I sure have a thing or two to tell you"" (1), ""X X is a X X to X"" (1), ""X X-BS X X X X your X XMillion"" (1), ""X X X X X X X/T"" (1)"
