video_id,title,description,published_at,channel_id,channel_title,thumbnail_url,duration,liveBroadcastContent,view_count,like_count,comment_count,source_type
-2W89vXGwu4,An Unfiltered Conversation with Emma Chamberlain,"Thanks @emmachamberlain for coming on the show 🙏🏻🙏🏽
Spanish dub by ElevenLabs

00:00 Who is Emma Chamberlain?
01:21 What’s your relationship to YouTube right now?
02:52 What era of Emma are you in?
07:00 Staying culturally present on the internet
09:06 How Emma’s so open on camera
12:21 Rejection
13:51 Being open with her parents vs romantic interests
16:14 The single word video titles
24:29 Vlogging through depression
29:55 The internet’s best friend
34:47 Over-saturation of vlogging
38:53 Emma’s editing style
43:19 Auteurship
45:46 What industry is Emma in?
49:53 Met Gala
55:19 Her own brand awareness
59:33 Brand deals vs campaigns
1:07:24 Her relationship with money
1:26:44 Acting
1:45:11 Video podcasting
1:50:01 Why she deleted her TikTok
1:54:59 Chamberlain Coffee
2:10:33 Emma’s thoughts on the state of YouTube
2:17:07 What if she stopped podcasting? 
2:27:04 Samir’s book idea for Emma
2:33:27 Mental health
2:35:41 Her relationship with Spotify vs YouTube
2:43:50 Regrets
2:45:09 What she would teach at college

Emma Latest Video: 

hair theory.


Emma Chamberlain Goes for the Glory While Eating Spicy Wings | Hot Ones
https://youtu.be/XUKk0841DtA?si=94Vh1cWqt-iUH4Pk

stories from my childhood
https://youtu.be/7Z0fToNvwy4?si=HVV9wFIjywmLcwDY

the black turtleneck, a closet staple
https://youtu.be/KhnODx12aBc?si=FAnagTAtXRAc_gIR

COLIN AND SAMIR’S NEWSLETTER
📫 100,000+ read our free newsletter that breaks down the business of creators. Sign up: https://bit.ly/publish-press 

ASK US A QUESTION
❔ We answer questions from creators every Sunday in our newsletter. Submit yours here: https://bit.ly/publish-creator-support 

LISTEN TO THE SHOW
iTunes: https://apple.co/2K1pYhu 
Spotify: https://spoti.fi/2OnTmBC 

GET IN TOUCH
🌍 Our website: www.colinandsamir.com     
🌍 Work with us:  ColinandSamirTeam@unitedtalent.com 

JOIN OUR COMMUNITY
📡 Discord: https://discord.com/invite/colinandsamir
📸 Instagram: https://instagram.com/colinandsamir 
🐦 Twitter: https://twitter.com/ColinandSamir 
🎵 TikTok: https://www.tiktok.com/@colinandsamir 

ABOUT US
We’re Colin and Samir, creators based out of Los Angeles California. We make videos about the creator economy, and the lessons we’ve learned over 10 years of being on YouTube. We also interview creators and try to get to the bottom of what’s working on YouTube and where the creator economy is headed.d

i got rid of (almost) everything",2023-11-29T14:00:00Z,UCamLstJyCa-t5gfZegxsFMw,Colin and Samir,https://i.ytimg.com/vi/-2W89vXGwu4/mqdefault.jpg,PT2H49M37S,none,3227554,37436,1418,top
-B96nN9N6rs,How to succeed if you’re ambitious but lazy,More stuff here: https://www.instagram.com/imangadzhi/,2025-03-30T15:58:07Z,UCQ4FNww3XoNgqIlkBqEAVCg,Iman Gadzhi,https://i.ytimg.com/vi/-B96nN9N6rs/mqdefault.jpg,PT17M25S,none,458898,23851,438,latest
-FEFeG1nEmc,How To Raise Your Standards To Get ANYTHING YOU WANT,"These 4 standards measurements have the potential to change your life in very impactful ways. What standards are you setting for yourself? Is it a should or a must? Tony Robbins speaks on raising the bar and quality of your life by raising your standards. 

Watch more videos like this 👇 
These 3 Questions Will Change How You Do EVERYTHING!: https://youtu.be/43RL-kSEEyQ
The #1 Most Important Skill for Improving Your Life: https://youtu.be/8joX6mdOVcE
Prime Your Brain to STOP Stress, Anxiety & Fear INSTANTLY: https://youtu.be/60ROjGMqXUQ
The Tony Robbins Podcast: https://www.youtube.com/playlist?list=PLYTXvUDQT5pWkFiK1Yal1WtPcMrVbmjzA

Subscribe: https://www.youtube.com/@TonyRobbinsLive?sub_confirmation=1

Tony Robbins is a #1 New York Times best-selling author, entrepreneur, philanthropist, and the nation's #1 Life and Business Strategist. For more than four and a half decades, more than 100 million people from 195 countries have enjoyed the warmth, humor, and transformational power of his business and personal development events. 

Mr. Robbins is the author of seven internationally bestselling books, including three #1 New York Times bestsellers: Money: Master the Game, Unshakeable, and Life Force.  He created the #1 personal and professional development program of all time, and more than 10 million people have attended his live seminars.
 
Anthony Robbins is the chairman of a holding company comprising more than 110 privately held businesses with combined sales exceeding $7 billion a year. He has been named in the top 50 of Worth Magazine’s 100 most powerful people in global finance for three consecutive years, honored by Accenture as one of the ""Top 50 Business Intellectuals in the World''; by Harvard Business Press as one of the ""Top 200 Business Gurus""; and by American Express as one of the ""Top Six Business Leaders in the World"" to coach its entrepreneurial clients. Fortune’s recent cover article named him the “CEO Whisperer.”

He is a leader called upon by leaders, and has worked with four US presidents, top entertainers -- from Aerosmith to Green Day, to Usher and Pitbull, as well as athletes like Serena Williams, Andre Agassi, and the 2022 NBA Champion Golden State Warriors. Billionaire business leaders seek his advice as well; casino magnate Steve Wynn, and Salesforce.com founder Marc Benioff are among those grateful for his coaching.
 
As a philanthropist, through his partnership with Feeding America, Mr. Robbins has provided over 985 million meals in the last 8 years to those in need. He is two years ahead of schedule to provide 1 billion meals. Through the Tony Robbins Foundation, he has also awarded over 2,500 grants and other resources to health and human services organizations, implemented life-changing curricula in 1,700+ correctional facilities and gathered thousands of young leaders from around the world with its teen programs. In addition, he provides fresh water to 250,000 people a day in India in order to fight the number one killer of children in that country-waterborne diseases.

Follow Tony Robbins:
Facebook: https://www.facebook.com/TonyRobbins
Instagram: https://instagram.com/tonyrobbins/
TikTok: https://www.tiktok.com/@tonyrobbins
Twitter: https://twitter.com/tonyrobbins
LinkedIn: https://www.linkedin.com/in/officialtonyrobbins
Website: https://tonyr.co/3zBjTrG/",2024-07-07T20:00:00Z,UCJLMboBYME_CLEfwsduI0wQ,Tony Robbins,https://i.ytimg.com/vi/-FEFeG1nEmc/mqdefault.jpg,PT11M34S,none,485407,14673,342,top
-QSqvBtN_TY,İyi Niyetle Yapılan Ama Saygı Görmeni Engelleyen Davranışlar,"Hak ettiğin saygıyı görmeni engelleyen davranışlar.

Abone Olmak İçin: https://goo.gl/sZvYO7

Video Konu Başlıkları
Kaygı ve Stresle Nasıl Baş Edersin: https://goo.gl/yz48JA
Motivasyon Videoları: https://goo.gl/aZRvQW
Kitap ve Film Önerileri: https://goo.gl/qxgXEc
Verimli Ders Çalışma ve Öğrenme Teknikleri: https://goo.gl/2LRkDr
Özgüven Geliştirme Videoları: https://goo.gl/Gg9pKN
Evlilik ve İlişki Sorunları: https://goo.gl/huVhjP

Beyhan Budak Sosyal Medya Hesapları
http://www.beyhanbudak.com.tr
https://instagram.com/beyhanbudak/
https://twitter.com/beyhanbudak
https://www.facebook.com/pskbeyhanbudak

ÖNEMLİ NOT:
Bu YouTube kanalındaki videolar bilgilendirme ve farkındalık amaçlı olarak hazırlanmıştır. Hiçbir şekilde tanı ve tedavi amaçlı kullanılamaz. Tanı ve tedavi gerektiren durumlar için lütfen hekimlere başvurunuz.

Videolarda yer alan vaka öyküleri gerçek vakalardan (bazen birkaç vakanın birleşimi)  esinlenilmiş kurgusal öykülerdir. Vaka öykülerinde hiçbir şekilde bir kişiye ait tanımlayıcı bir bilgi yer almamaktadır.",2025-05-08T18:56:23Z,UCEpzQk829RfkBIUmwg54g9A,Beyhan Budak,https://i.ytimg.com/vi/-QSqvBtN_TY/mqdefault.jpg,PT54M22S,none,21986,1565,83,latest
-pWIjNtnpVY,Dave Ramsey'den Hayatınızı Değiştirecek Finansal Stratejiler | İlham Verici Konuşmalar,"Dave Ramsey'in finansal bilgeliklerini ve yaşam değiştirici tavsiyelerini keşfedin! Bu videomuzda, daha fazla para kazanmanın ve finansal okuryazarlığınızı artırmanın yollarını keşfetmek için Dave Ramsey'in kapsamlı rehberliğini sunuyoruz. Hayatınızı olumlu yönde değiştirecek stratejilerle dolu bu özel içeriği kaçırmayın. Dave'in pratik bilgileri, borçtan kurtulma yöntemleri ve varlık oluşturma stratejileri hakkında derinlemesine bilgi alın. Bütçe yapmanın, harcamaları azaltmanın ve finansal hedeflerinize ulaşmanın yollarını öğrenin. Şimdi izleyin ve finansal özgürlüğe doğru ilk adımınızı atın!

Sosyal Medya Hesapları
https://www.instagram.com/baykalem__/?hl=tr
https://twitter.com/Baykalem__

#DaveRamsey #FinansalÖzgürlük #ParaKazanma #FinansalOkuryazarlık #BorçtanKurtulma #VarlıkOluşturma #Bütçeleme #YatırımYapma #HayatTavsiyeleri",2024-03-24T06:10:23Z,UCV2y68vJ1IGfwdyYGe6PN4Q,Baykalem,https://i.ytimg.com/vi/-pWIjNtnpVY/mqdefault.jpg,PT22M54S,none,598391,14356,388,top
061AQtNWsV0,Copy My Flywheel Content System That Generated Me $100M+,Book a Call for 8-Figure License: https://links.educate.io/8FL-Flywheel,2025-02-26T17:01:35Z,UCRIYuAD9fUFITaYe_007GkQ,Iman Gadzhi Business,https://i.ytimg.com/vi/061AQtNWsV0/mqdefault.jpg,PT18M58S,none,17403,873,26,latest
0AbuEvMO-pk,Psikologların İnsanları Tanımak İçin Kullandığı 5 Teknik,"Psikologların insanları tanımak ve analiz etmek için kullandığı yöntem ve teknikler￼
Abone Olmak İçin: https://goo.gl/sZvYO7

Video Konu Başlıkları
Kaygı ve Stresle Nasıl Baş Edersin: https://goo.gl/yz48JA
Motivasyon Videoları: https://goo.gl/aZRvQW
Kitap ve Film Önerileri: https://goo.gl/qxgXEc
Verimli Ders Çalışma ve Öğrenme Teknikleri: https://goo.gl/2LRkDr
Özgüven Geliştirme Videoları: https://goo.gl/Gg9pKN
Evlilik ve İlişki Sorunları: https://goo.gl/huVhjP

Beyhan Budak Sosyal Medya Hesapları
http://www.beyhanbudak.com.tr
https://instagram.com/beyhanbudak/
https://twitter.com/beyhanbudak
https://www.facebook.com/pskbeyhanbudak

ÖNEMLİ NOT:
Bu YouTube kanalındaki videolar bilgilendirme ve farkındalık amaçlı olarak hazırlanmıştır. Hiçbir şekilde tanı ve tedavi amaçlı kullanılamaz. Tanı ve tedavi gerektiren durumlar için lütfen hekimlere başvurunuz.

Videolarda yer alan vaka öyküleri gerçek vakalardan (bazen birkaç vakanın birleşimi)  esinlenilmiş kurgusal öykülerdir. Vaka öykülerinde hiçbir şekilde bir kişiye ait tanımlayıcı bir bilgi yer almamaktadır.",2024-11-17T17:38:41Z,UCEpzQk829RfkBIUmwg54g9A,Beyhan Budak,https://i.ytimg.com/vi/0AbuEvMO-pk/mqdefault.jpg,PT15M49S,none,299538,12744,640,top
0BBOfeUHMA4,Küçük Bir Kızın Gözünden PARA | Yetişkinlere Anlatılmış En Tatlı Hikâye,"Bu animasyon hikâyeyi 23 Nisan Ulusal Egemenlik ve Çocuk Bayramı'na özel hazırladık. Sadece çocuklara değil, yetişkinlere de ilham verecek bir finansal yolculuğa çıkıyoruz. Küçük bir kızın gözünden, parayla olan ilişkimizi, zamanın kıymetini ve mutluluğun neyle ölçüldüğünü sorgulatan bu video sizi düşündürecek.

Zeynepology⁩ kanalı ile Merak Et, Keşfet, Öğren 👉  https://www.youtube.com/channel/UCzYWBBjzS2ZwHHH_-NhNz8g

🎙️ Küçük bir çocuğun sesiyle anlatılan bu hikâye, “Bilge Kumbara” adlı sihirli bir karakterin rehberliğinde; para yönetimi, borç bilinci, ihtiyaç ve istek ayrımı, zamanın değeri, mutluluk kavramı ve hayal kurma cesareti gibi hayati kavramları sade ama etkileyici bir şekilde işliyor.

💡 Videoda Neler Var?
*Finansal okuryazarlık kavramına çocukça bir bakış
*Zaman Pazarı ile zamanın nasıl harcandığını fark etme
*Hayal Bankası ile uzun vadeli düşünmenin gücü
*Borç Bataklığı ile tüketim kültürünün görünmeyen bedelleri
*İstek ve İhtiyaçlar Ormanı ile bilinçli tüketim alışkanlıkları
*Mutluluk Bakkalı ile maddi ve manevi tatmin arasındaki fark
*Kendi Kurallarını Yazmak: Parayla değil, anlamla zenginleşmek

🎯 Kimler Bu Videoyu İzlemeli?
-Çocuğuna finansal farkındalık kazandırmak isteyen ebeveynler
-Zamanı, parayı ve mutluluğu yeniden tanımlamak isteyen gençler
-23 Nisan’a özel anlamlı ve farkındalık dolu içerik arayan herkes
-Eğitimciler, psikolojik gelişimle ilgilenenler

🎈 Bu Sadece Bir Masal Değil…
Bu video, sıradan bir animasyon değil. Çünkü içinde hayal gücüyle harmanlanmış finansal dersler var.
Ve en önemlisi: Para sadece bir araç, asıl mesele hayatı nasıl yönettiğimiz.

💬 Yorumlara “Benim kuralım şuydu…” diye yazarak bu yolculuğa katkı verebilirsin!
📢 Videoyu arkadaşlarınla paylaşarak daha fazla çocuğa (ve büyüklere) ulaşmamıza destek olabilirsin!

#23Nisan #ÇocuklaraFinans #FinansalOkuryazarlık #ParaYönetimi #Zeynepology #Baykalem 

Sosyal Medya Hesapları
https://twitter.com/Baykalem__
https://www.instagram.com/baykalem__/?hl=tr",2025-04-23T06:06:49Z,UCV2y68vJ1IGfwdyYGe6PN4Q,Baykalem,https://i.ytimg.com/vi/0BBOfeUHMA4/mqdefault.jpg,PT7M21S,none,12456,999,89,latest
0BgHsvUBKfo,Do This Daily To Train Your Brain for Success (STOP NEGATIVE THOUGHTS),"Mindset is critical when it comes to success. In this video, I'm sharing with you tools to train your brain for success. Grab Millionaire Success Habits: https://bit.ly/MSHYT 

WATCH NEXT: If I Had To Start Over, This is What I Would Do https://youtu.be/hRow1lgvUlI 

👇 SUBSCRIBE TO DEAN’S YOUTUBE CHANNEL 👇
https://www.youtube.com/user/deangraziosi?sub_confirmation=1

I’m Dean Graziosi.

I’m an Entrepreneur, Educator, Bestselling Author and Sales and Marketing Expert. I help success seekers, stuck solopreneurs, and unfulfilled professionals who want “more” out of their life and business create success and impact through a better future in the self education industry through the company I co-founded with Tony Robbins, Mastermind.com. 

In other words - If you’re ready to turn your mess into your message or turn your life experience into expertise, you’re in the right place.

Here, you’ll find my top tips to help you develop a winning mindset, master your marketing and build amazing momentum for ultimate results. I not only teach these tools and skills, I practice them - so I know from my own experience how powerful they can be. 

My #1 secret to success is self-education. I learned from other people who’d already achieved the level of life I wanted and used that as a model to create the success I craved… and now you can do the same!

Check Out These Top Playlists Next -
1.) Own Your Future Podcast - https://www.youtube.com/playlist?list=PLRyfTv5HrpYakJZx7_uFwjLbXdAVWQc_P 

2.) Success Mindset Motivation - https://www.youtube.com/playlist?list=PLRyfTv5HrpYZPB8csJrxyjzg6S5pSRahm 

Click here to get my FREE book! https://bit.ly/MSHYT

Join the Mastermind.com Membership: https://bit.ly/YTMMMonthly 
Get Your Better Life Journal: https://bit.ly/BLJYT 

📲 CONNECT WITH DEAN ON SOCIAL MEDIA
YouTube: https://www.youtube.com/c/deangraziosi
Instagram: https://instagram.com/deangraziosi 
Facebook: https://www.facebook.com/deangraziosipage 
Twitter: https://twitter.com/deangraziosi
TikTok: https://www.tiktok.com/@deangraziosi 
Website: https://www.deangraziosi.com/ 

Join Dean’s newsletter for weekly wisdom, updates and news direct to your inbox at https://bit.ly/DGWeeklyWisdom",2024-04-20T14:45:00Z,UCOnWTeJRZLVLKsZicgSLcFQ,Dean Graziosi,https://i.ytimg.com/vi/0BgHsvUBKfo/mqdefault.jpg,PT13M43S,none,20435,872,49,top_and_latest
0lgBysDDJvA,Panik Atak İlaçsız Nasıl Geçer?,"Panik ataktan ilaçsız kurtulma yöntemlerini anlatıyorum.

Abone Olmak İçin: https://bit.ly/3zLgVBt

Video Konu Başlıkları
Kaygı ve Stresle Nasıl Baş Edersin: https://goo.gl/yz48JA
Motivasyon Videoları: https://goo.gl/aZRvQW
Kitap ve Film Önerileri: https://goo.gl/qxgXEc
Verimli Ders Çalışma ve Öğrenme Teknikleri: https://goo.gl/2LRkDr
Özgüven Geliştirme Videoları: https://goo.gl/Gg9pKN
Evlilik ve İlişki Sorunları: https://goo.gl/huVhjP

Beyhan Budak Sosyal Medya Hesapları
http://www.beyhanbudak.com.tr
https://instagram.com/beyhanbudak/
https://twitter.com/beyhanbudak
https://www.facebook.com/pskbeyhanbudak

ÖNEMLİ NOT:
Bu YouTube kanalındaki videolar bilgilendirme ve farkındalık amaçlı olarak hazırlanmıştır. Hiçbir şekilde tanı ve tedavi amaçlı kullanılamaz. Tanı ve tedavi gerektiren durumlar için lütfen hekimlere başvurunuz.

Videolarda yer alan vaka öyküleri gerçek vakalardan (bazen birkaç vakanın birleşimi)  esinlenilmiş kurgusal öykülerdir. Vaka öykülerinde hiçbir şekilde bir kişiye ait tanımlayıcı bir bilgi yer almamaktadır.",2024-04-25T15:05:42Z,UCEpzQk829RfkBIUmwg54g9A,Beyhan Budak,https://i.ytimg.com/vi/0lgBysDDJvA/mqdefault.jpg,PT14M25S,none,182293,6713,799,top
